,index,Source,SS,DF1,DF2,MS,F,p-unc,np2,eps,metric,Significant,q_value,p_value
0,0,label,0.03636800632625252,1,39,0.03636800632625252,1.4376420778721453,0.2377559184036888,0.03555207484906337,,0,False,0.38040946944590204,0.2377559184036888
1,1,time_labels,0.008086843455781737,1,39,0.008086843455781737,0.7864473723626071,0.3806127151291354,0.01976671515810953,1.0,0,False,0.5373355978293676,0.3806127151291354
2,2,Interaction,0.005232049725291565,1,39,0.005232049725291565,0.5088180303013285,0.4798978697948104,0.012878594087808195,,0,False,0.6022884136794687,0.4798978697948104
3,0,label,0.6225514180936781,1,39,0.6225514180936781,4.23821854766067,0.04624743423383251,0.09802019347742004,,1,False,0.2614675649613186,0.04624743423383251
4,1,time_labels,0.031809835836558706,1,39,0.031809835836558706,1.6273915938348151,0.2096103475849916,0.04005651187515004,1.0,1,False,0.38040946944590204,0.2096103475849916
5,2,Interaction,0.010125729286801999,1,39,0.010125729286801999,0.5180324352334436,0.4759735897152434,0.013108760819062863,,1,False,0.6022884136794687,0.4759735897152434
6,0,label,0.17179126629816138,1,39,0.17179126629816138,1.527920635173061,0.22381809242107337,0.037700444810065604,,2,False,0.38040946944590204,0.22381809242107337
7,1,time_labels,0.0026505117823630246,1,39,0.0026505117823630246,0.1472490866659988,0.7032622917284408,0.003761415938576219,1.0,2,False,0.7535705454782904,0.7032622917284408
8,2,Interaction,0.07285938652370216,1,39,0.07285938652370216,4.04770059580543,0.051176343832610875,0.0940282649196793,,2,False,0.2614675649613186,0.051176343832610875
9,0,label,0.07902267063474747,1,39,0.07902267063474747,3.0959106431401944,0.08633236023295168,0.07354421357896657,,3,False,0.2614675649613186,0.08633236023295168
10,1,time_labels,0.005846899743112709,1,39,0.005846899743112709,0.8947813820253069,0.3500090560667798,0.02242853202921555,1.0,3,False,0.5250135841001697,0.3500090560667798
11,2,Interaction,0.022488611836845918,1,39,0.022488611836845918,3.4415488657739703,0.0711464802838563,0.08108914395792303,,3,False,0.2614675649613186,0.0711464802838563
12,0,label,0.006494840047440215,1,39,0.006494840047440215,0.2606170217626087,0.6125741621529512,0.006638128525034279,,4,False,0.7000847567462299,0.6125741621529512
13,1,time_labels,0.039012830227605974,1,39,0.039012830227605974,7.092307477625807,0.011192750008135995,0.15387182516450418,1.0,4,False,0.2614675649613186,0.011192750008135995
14,2,Interaction,0.020203537699391427,1,39,0.020203537699391427,3.672886603302498,0.0626535955850793,0.08607073239376896,,4,False,0.2614675649613186,0.0626535955850793
15,0,label,0.14420806255066523,1,39,0.14420806255066523,2.9164950553781996,0.09562802314505668,0.06957869572646894,,5,False,0.2614675649613186,0.09562802314505668
16,1,time_labels,0.0008454234296535242,1,39,0.0008454234296535242,0.12826236695773027,0.7221717727500283,0.003277998030038839,1.0,5,False,0.7535705454782904,0.7221717727500283
17,2,Interaction,0.016967116520831826,1,39,0.016967116520831826,2.5741450367674084,0.11669146495752564,0.06191696869510803,,5,False,0.2614675649613186,0.11669146495752564
18,0,label,0.1489793641190218,1,39,0.1489793641190218,2.5290903563357743,0.11983930060727103,0.06089924760294997,,6,False,0.2614675649613186,0.11983930060727103
19,1,time_labels,0.005224165324397397,1,39,0.005224165324397397,0.4593980508851606,0.5019070113995573,0.011642297490010882,1.0,6,False,0.6022884136794687,0.5019070113995573
20,2,Interaction,0.018203268699413577,1,39,0.018203268699413577,1.600743016534237,0.2133053352125333,0.03942644635548543,,6,False,0.38040946944590204,0.2133053352125333
21,0,label,0.37906448923248637,1,39,0.37906448923248637,2.8655544475510735,0.09846960591052303,0.06844659017094885,,7,False,0.2614675649613186,0.09846960591052303
22,1,time_labels,0.00010081185810114092,1,39,0.00010081185810114092,0.004196502964534321,0.9486797513001655,0.00010759106303382928,1.0,7,False,0.9486797513001655,0.9486797513001655
23,2,Interaction,0.07063222606111275,1,39,0.07063222606111275,2.9402131023092752,0.09433670159852857,0.07010486797329563,,7,False,0.2614675649613186,0.09433670159852857
